,ep,group,class,rubric,text,edit,text_diff,task_text,time
0,3,Group1,3,19,454,9,204,204,0.589
1,3,Group2,1,21,1034,14,950,950,0.53
2,3,Group3,2,23,815,6,637,637,0.501
3,3,Group4,1,25,810,12,473,473,0.953
4,3,Group5,2,25,899,8,681,681,0.152
5,3,Group6,3,19,519,18,336,336,0.434
6,3,Group7,4,7,394,7,274,274,0.406
7,3,Group9,3,17,665,12,416,416,0.539
8,3,Group10,2,15,964,12,485,485,0.333
9,3,Group11,4,15,488,11,404,404,0.324
10,3,Group12,2,23,1068,12,615,615,0.265
11,3,Group13,4,15,648,7,350,350,0.069
12,3,Group14,4,15,678,12,426,426,0.444
13,3,Group15,4,9,517,8,326,326,0.182
14,3,Group16,1,21,825,16,491,491,0.485
15,3,Group17,4,13,348,10,218,218,0.283
16,3,Group18,4,9,283,12,127,127,0.354
17,3,Group19,1,15,746,19,623,623,0.485
18,3,Group20,1,21,1087,27,863,863,0.551
19,3,Group21,3,21,627,13,389,389,0.521
20,3,Group22,1,25,1132,19,535,535,0.439
21,3,Group23,1,17,902,20,745,745,1.007
22,3,Group24,2,23,631,8,534,534,0.331
23,3,Group25,4,13,456,7,319,319,0.453
24,3,Group26,4,13,413,9,320,320,0.301
25,3,Group27,2,25,949,11,447,447,0.458
26,3,Group28,3,15,574,18,320,320,0.471
27,4,Group1,2,19,934,3,229,229,0.162
28,4,Group2,1,20,679,18,434,434,0.285
29,4,Group3,1,25,736,17,406,406,0.56
30,4,Group4,3,19,555,18,217,217,0.236
31,4,Group5,3,17,519,13,219,219,0.214
32,4,Group7,3,15,504,9,249,249,0.345
33,4,Group8,2,25,931,10,456,456,0.406
34,4,Group9,3,13,359,4,180,180,0.129
35,4,Group10,2,23,958,7,453,453,0.104
36,4,Group11,2,19,668,5,360,360,0.368
37,4,Group12,1,21,877,15,531,531,0.75
38,4,Group13,3,13,367,15,139,139,0.218
39,4,Group14,2,25,644,9,315,315,0.347
40,4,Group15,2,23,959,10,318,318,0.321
41,4,Group16,2,15,784,10,421,421,0.081
42,4,Group18,3,11,484,10,77,77,0.15
43,4,Group19,2,19,753,8,413,413,0.274
44,4,Group20,1,25,1168,19,758,758,0.453
45,4,Group21,2,23,770,7,276,276,0.25
46,4,Group22,1,23,951,24,512,512,0.538
47,4,Group23,1,19,1279,20,882,882,0.454
48,4,Group24,2,21,810,10,180,180,0.326
49,4,Group25,3,17,464,13,249,249,0.3
50,4,Group26,3,13,565,4,170,170,0.281
51,4,Group27,1,25,1213,18,678,678,0.399
52,4,Group28,3,19,653,10,191,191,0.246
53,9,Group1,4,15,1116,14,399,701,0.356
54,9,Group2,1,25,1671,19,1600,309,0.425
55,9,Group3,4,9,784,29,457,348,0.577
56,9,Group4,4,13,670,11,352,254,0.363
57,9,Group5,2,21,748,14,144,521,0.39
58,9,Group6,3,17,1327,26,675,618,0.484
59,9,Group7,4,15,518,24,391,237,0.565
60,9,Group8,1,21,1223,18,846,383,0.484
61,9,Group9,4,11,361,17,241,128,0.405
62,9,Group10,2,19,1294,12,616,537,0.422
63,9,Group11,2,23,704,14,202,445,0.589
64,9,Group12,1,25,1501,12,1046,537,0.392
65,9,Group13,4,13,907,31,423,422,0.579
66,9,Group14,3,21,1752,62,1466,563,0.64
67,9,Group15,4,11,767,15,365,208,0.15
68,9,Group16,3,23,1410,51,1070,245,0.428
69,9,Group18,2,19,797,20,335,658,0.472
70,9,Group20,2,21,808,7,135,645,0.189
71,9,Group21,1,25,1326,11,1076,278,0.27
72,9,Group22,3,19,879,42,690,1154,0.682
73,9,Group23,1,25,3400,40,1477,167,0.686
74,9,Group24,4,15,1019,8,240,880,0.284
75,9,Group25,4,19,737,27,566,254,0.327
76,9,Group26,4,11,447,19,244,150,0.33
77,9,Group27,1,25,3346,24,2127,763,0.698
78,9,Group28,3,23,1038,29,439,546,1.373
79,8,Group1,4,13,672,21,279,333,0.151
80,8,Group2,1,19,1238,17,1198,592,0.323
81,8,Group3,2,23,1267,21,468,774,0.4
82,8,Group4,4,17,771,9,225,488,0.324
83,8,Group5,2,19,1247,18,518,587,0.366
84,8,Group6,4,13,758,25,313,387,0.494
85,8,Group7,1,23,1214,25,990,400,0.504
86,8,Group8,2,25,1325,15,413,862,0.513
87,8,Group9,4,11,546,13,270,520,0.372
88,8,Group10,3,21,957,8,324,610,0.518
89,8,Group11,3,19,905,9,461,392,0.583
90,8,Group12,2,23,1129,12,126,973,0.267
91,8,Group13,4,17,865,21,167,644,0.371
92,8,Group14,1,25,1540,18,835,687,0.432
93,8,Group15,1,23,2135,22,692,1561,0.401
94,8,Group16,4,11,1051,21,354,510,0.387
95,8,Group18,4,15,843,15,445,451,0.211
96,8,Group19,2,21,1077,21,527,378,0.365
97,8,Group20,2,23,1338,20,411,938,0.261
98,8,Group21,4,17,563,17,446,225,0.493
99,8,Group22,1,23,1234,29,547,1016,0.486
100,8,Group23,1,19,1257,57,1101,513,0.779
101,8,Group24,4,17,621,13,180,381,0.364
102,8,Group25,4,11,737,13,607,752,0.625
103,8,Group26,4,13,1064,15,479,391,0.526
104,8,Group27,1,23,1971,18,1310,743,0.473
105,8,Group28,1,21,1668,26,935,997,1.267
